,Duration,Heart_Rate,Body_Temp,Calories
1,14,94,40.3,66.0
3,13,100,40.5,71.0
4,10,81,39.8,35.0
5,23,96,40.7,123.0
6,22,95,40.5,112.0
9,16,90,40.2,72.0
11,17,100,40.0,92.0
13,18,93,40.4,88.0
15,28,104,40.8,170.0
18,4,85,38.6,15.0
21,8,84,39.5,32.0
22,3,80,38.7,10.0
23,29,100,41.0,155.0
28,29,106,41.2,195.0
31,24,102,40.3,136.0
32,18,91,40.2,80.0
33,22,93,40.8,107.0
35,10,93,39.6,56.0
36,10,88,40.0,50.0
37,21,96,40.5,100.0
40,13,92,40.1,70.0
41,20,104,40.5,127.0
43,20,98,40.1,113.0
44,3,80,38.9,11.0
45,16,93,40.5,82.0
47,24,105,40.6,141.0
52,9,90,39.6,37.0
53,25,105,40.6,147.0
54,2,80,38.1,8.0
56,15,100,40.3,93.0
57,23,113,40.4,173.0
60,9,84,39.6,35.0
61,16,98,40.6,94.0
62,9,99,39.7,49.0
63,13,84,40.4,54.0
64,20,97,40.4,117.0
67,10,93,39.8,45.0
69,28,111,40.9,202.0
71,29,109,40.7,199.0
73,8,77,39.5,23.0
75,2,76,38.2,6.0
77,20,99,40.6,113.0
78,29,108,40.7,188.0
82,7,83,39.3,27.0
83,27,111,41.2,185.0
84,11,92,39.8,57.0
86,16,99,40.4,91.0
87,19,105,40.4,120.0
88,12,101,40.1,70.0
91,14,101,40.2,77.0
92,9,93,39.5,42.0
94,14,88,39.9,59.0
96,2,73,38.6,6.0
97,5,74,39.2,13.0
101,23,106,40.7,150.0
102,25,115,40.8,179.0
107,19,92,40.5,89.0
109,4,87,39.1,18.0
110,15,89,40.6,70.0
112,11,94,40.1,54.0
113,29,107,40.8,207.0
116,12,97,39.9,60.0
118,27,113,40.8,186.0
121,24,108,40.5,166.0
123,2,83,38.4,7.0
125,12,82,39.8,43.0
126,17,92,40.2,86.0
127,23,100,40.7,128.0
129,10,98,39.7,52.0
132,11,99,39.7,64.0
135,21,111,40.5,144.0
138,13,87,39.8,60.0
142,5,91,38.9,24.0
143,23,107,40.8,143.0
145,15,94,40.1,71.0
147,15,95,40.4,71.0
150,19,97,40.4,93.0
152,3,84,38.9,12.0
154,19,106,40.6,119.0
155,26,108,40.6,168.0
157,29,108,40.6,192.0
158,17,101,40.3,96.0
159,23,105,40.7,135.0
160,12,86,40.2,54.0
162,14,94,40.1,69.0
164,21,101,40.7,115.0
165,4,88,39.1,17.0
166,25,115,40.4,190.0
167,12,89,40.2,48.0
168,27,112,40.7,178.0
170,15,90,40.4,64.0
171,19,94,40.6,95.0
174,18,101,40.8,105.0
175,12,92,40.0,58.0
179,13,96,40.1,67.0
180,13,84,40.3,62.0
184,20,105,40.5,132.0
185,25,110,40.7,167.0
186,17,101,40.6,101.0
187,23,97,40.6,113.0
189,6,88,39.4,28.0
193,23,108,40.5,145.0
195,7,93,39.2,34.0
196,29,103,40.9,193.0
200,6,76,39.4,18.0
204,11,89,39.6,51.0
205,7,82,39.3,24.0
206,6,83,39.5,22.0
209,17,93,40.3,83.0
211,27,97,40.7,141.0
212,23,103,40.3,134.0
218,17,105,40.1,112.0
227,18,102,40.6,105.0
228,25,109,40.3,156.0
229,3,89,38.7,13.0
231,21,103,40.4,130.0
233,25,101,41.1,140.0
235,9,79,40.0,34.0
236,8,92,39.5,44.0
237,11,85,39.9,42.0
238,2,89,38.4,9.0
239,18,97,40.5,107.0
240,9,87,39.6,39.0
241,26,108,40.8,178.0
242,13,101,40.4,79.0
244,22,109,40.5,143.0
245,4,84,38.7,16.0
248,13,94,40.2,72.0
251,18,103,40.2,109.0
252,29,111,40.5,204.0
253,6,91,39.4,29.0
255,4,84,39.0,16.0
258,22,111,40.6,151.0
260,8,80,39.5,26.0
262,3,89,39.0,15.0
266,20,107,40.6,127.0
268,21,98,40.4,116.0
269,8,83,39.4,35.0
271,22,95,40.2,117.0
274,12,91,40.0,54.0
275,25,104,40.5,163.0
278,7,89,39.8,35.0
279,7,91,39.3,34.0
282,8,94,39.8,38.0
283,18,99,40.5,104.0
287,19,97,40.5,100.0
290,15,94,40.2,83.0
292,8,103,39.9,49.0
295,29,107,40.9,179.0
296,23,113,40.5,161.0
298,21,102,40.5,127.0
303,22,106,40.9,140.0
304,8,88,40.0,34.0
306,13,94,40.3,64.0
310,5,84,39.3,20.0
311,25,103,40.7,156.0
314,11,89,40.0,51.0
316,25,114,40.9,170.0
318,25,103,40.7,149.0
320,27,118,41.1,201.0
324,15,94,40.5,84.0
328,12,95,40.1,68.0
331,5,84,39.2,19.0
332,7,89,39.4,30.0
335,13,94,40.2,70.0
339,19,108,40.1,121.0
340,11,95,39.9,57.0
343,11,84,40.0,41.0
349,11,95,39.6,63.0
350,12,93,40.1,58.0
351,30,115,40.6,215.0
352,17,101,40.1,96.0
353,24,107,41.0,160.0
354,25,104,41.0,154.0
