,Duration,Heart_Rate,Body_Temp,Calories
0,29,105,40.8,231.0
2,5,88,38.7,26.0
7,25,100,40.7,143.0
8,21,97,40.4,134.0
12,11,90,40.0,58.0
14,2,82,38.1,7.0
16,4,82,38.6,11.0
17,11,89,40.2,43.0
19,14,94,40.2,74.0
20,8,77,39.2,29.0
25,10,83,39.7,24.0
26,7,78,39.3,12.0
27,3,83,38.9,10.0
29,2,81,38.2,5.0
30,16,97,40.5,69.0
34,29,114,41.0,200.0
38,25,114,40.8,200.0
39,1,81,38.3,4.0
42,25,108,40.8,197.0
46,8,86,39.9,26.0
48,20,96,40.6,92.0
50,10,83,39.7,30.0
51,3,78,38.5,3.0
55,21,106,40.7,159.0
58,19,95,40.6,89.0
59,7,82,39.3,31.0
65,27,104,40.6,173.0
66,20,97,40.7,99.0
68,22,113,40.6,166.0
70,20,101,40.9,107.0
72,5,90,39.1,25.0
74,24,108,40.7,200.0
76,2,79,38.1,7.0
79,20,96,40.3,103.0
80,17,103,40.3,128.0
81,23,99,40.7,130.0
85,13,94,40.0,65.0
89,9,94,39.8,39.0
90,22,95,40.5,136.0
93,7,95,39.2,41.0
95,24,110,40.7,179.0
98,23,110,40.0,147.0
99,26,107,40.7,180.0
100,14,96,40.1,101.0
103,6,93,39.2,23.0
104,3,80,38.3,10.0
105,9,93,39.5,39.0
106,30,112,40.9,247.0
108,25,102,40.9,141.0
111,29,110,40.8,185.0
114,27,114,41.0,189.0
115,2,82,38.1,6.0
117,6,92,39.0,23.0
119,28,104,40.9,178.0
120,25,102,40.7,122.0
122,20,102,40.1,158.0
124,18,105,40.5,143.0
128,29,111,41.0,182.0
130,27,107,40.4,236.0
131,19,97,40.6,114.0
133,26,103,40.8,171.0
134,6,82,39.2,19.0
136,9,94,39.7,37.0
137,26,110,41.4,185.0
139,22,96,40.5,127.0
140,23,101,40.4,149.0
141,16,102,40.1,78.0
144,27,104,41.0,143.0
146,11,90,40.2,58.0
148,5,88,39.5,20.0
149,17,96,40.3,78.0
151,6,90,39.2,17.0
153,23,101,40.8,115.0
156,12,90,40.4,44.0
161,30,115,40.8,239.0
163,14,90,40.7,46.0
169,6,88,39.3,20.0
172,25,111,40.8,196.0
173,2,91,38.1,9.0
176,24,97,40.8,111.0
177,17,101,40.3,108.0
178,6,87,39.1,24.0
181,28,104,40.8,172.0
182,7,87,39.5,24.0
183,19,98,40.1,84.0
188,17,101,40.3,84.0
190,22,99,41.0,157.0
191,14,97,40.4,64.0
192,21,104,40.6,133.0
194,24,103,41.0,174.0
197,24,107,40.7,147.0
198,18,105,40.5,133.0
199,26,101,40.7,161.0
201,12,96,40.1,85.0
202,15,95,40.0,90.0
203,23,108,40.9,176.0
207,25,106,40.9,212.0
208,29,112,40.9,201.0
